gene_id	geneSymbol	mean	median	longest_isoform	merged	gene_category
ENSG00000198658.4	ABHD17AP1	933	933	933	933	unprocessed_pseudogene
ENSG00000250536.1	ABHD17AP3	1137	1137	1137	1137	unprocessed_pseudogene
ENSG00000229107.2	ABHD17AP4	909	909	909	909	processed_pseudogene
ENSG00000263366.2	ABHD17AP5	923	923	923	923	processed_pseudogene
ENSG00000226981.2	ABHD17AP6	1044	1044	1044	1044	unprocessed_pseudogene
ENSG00000260864.1	ABHD17AP7	595	595	595	595	unprocessed_pseudogene
ENSG00000260540.2	ABHD17AP8	574	574	574	574	unprocessed_pseudogene
ENSG00000261536.2	ABHD17AP9	548	548	548	548	unprocessed_pseudogene
ENSG00000107362.14	ABHD17B	2188	2188	3065	3221	protein_coding
ENSG00000136379.12	ABHD17C	1604	1976	2435	3620	protein_coding
ENSG00000164074.15	ABHD18	2826	2139	5827	6707	protein_coding
ENSG00000140526.18	ABHD2	1573	585	8424	10068	protein_coding
ENSG00000158201.10	ABHD3	1199	1094	2080	4337	protein_coding
ENSG00000100439.10	ABHD4	936	689	3366	4070	protein_coding
ENSG00000011198.10	ABHD5	1766	1416	5298	7539	protein_coding
ENSG00000163686.15	ABHD6	1083	768	2393	3563	protein_coding
ENSG00000127220.6	ABHD8	1055	570	2042	2162	protein_coding
ENSG00000136754.18	ABI1	3231	3467	3576	4218	protein_coding
ENSG00000271484.1	ABI1P1	1120	1120	1120	1120	unprocessed_pseudogene
ENSG00000138443.17	ABI2	2540	750	22039	23275	protein_coding
ENSG00000108798.9	ABI3	1255	1247	1718	2272	protein_coding
ENSG00000154175.18	ABI3BP	1525	568	6737	10978	protein_coding
ENSG00000097007.19	ABL1	3621	4754	5578	7018	protein_coding
ENSG00000143322.21	ABL2	3269	2292	12217	16689	protein_coding
ENSG00000099204.20	ABLIM1	2879	2230	7690	10231	protein_coding
ENSG00000163995.21	ABLIM2	2255	2522	3725	6166	protein_coding
ENSG00000173210.20	ABLIM3	2420	2288	4569	7225	protein_coding
ENSG00000175164.15	ABO	2027	1147	6359	6477	protein_coding
ENSG00000159842.15	ABR	1159	588	5595	12426	protein_coding
ENSG00000174429.4	ABRA	2754	2754	2754	2754	protein_coding
ENSG00000146386.8	ABRACL	619	619	782	1137	protein_coding
ENSG00000163322.14	ABRAXAS1	1689	1732	4210	7699	protein_coding
ENSG00000165660.8	ABRAXAS2	2955	2955	2955	2955	protein_coding
ENSG00000146109.5	ABT1	2943	2943	2943	2943	protein_coding
ENSG00000250496.2	ABT1P1	821	821	821	821	processed_pseudogene
ENSG00000114626.18	ABTB1	1366	818	5061	6155	protein_coding
ENSG00000166016.6	ABTB2	2735	2735	4905	4976	protein_coding
ENSG00000260246.1	AC000032.1	491	491	491	491	lncRNA
ENSG00000282816.1	AC000035.1	343	343	343	343	lncRNA
ENSG00000225929.1	AC000036.1	2030	2030	2030	2030	lncRNA
ENSG00000242156.1	AC000041.1	175	175	175	175	unprocessed_pseudogene
ENSG00000223665.1	AC000058.1	536	536	536	536	lncRNA
ENSG00000083622.8	AC000061.1	376	376	376	376	lncRNA
ENSG00000225007.1	AC000067.1	287	287	287	287	lncRNA
ENSG00000185065.6	AC000068.1	2097	2097	2097	2097	lncRNA
ENSG00000273212.1	AC000068.2	460	460	460	460	lncRNA
ENSG00000273300.1	AC000068.3	427	427	427	427	lncRNA
ENSG00000230485.1	AC000077.1	953	953	953	953	processed_pseudogene
ENSG00000232926.1	AC000078.1	682	682	682	682	processed_pseudogene
ENSG00000230194.1	AC000081.1	297	297	297	297	processed_pseudogene
ENSG00000235776.2	AC000089.1	801	801	801	801	processed_pseudogene
ENSG00000284874.1	AC000093.1	3643	3643	4113	4669	protein_coding
ENSG00000270393.1	AC000095.1	874	874	874	874	processed_pseudogene
ENSG00000283366.2	AC000095.2	154	154	154	154	transcribed_unprocessed_pseudogene
ENSG00000236340.6	AC000099.1	1460	1682	1912	1918	NA
ENSG00000234001.1	AC000111.1	210	210	210	210	processed_pseudogene
ENSG00000237974.1	AC000111.2	193	193	193	193	processed_pseudogene
ENSG00000243107.1	AC000120.1	1589	1589	1589	1589	lncRNA
ENSG00000224138.1	AC000123.1	516	516	516	516	lncRNA
ENSG00000279265.1	AC000123.2	461	461	461	461	TEC
ENSG00000280347.1	AC000123.3	4975	4975	4975	4975	TEC
ENSG00000226770.1	AC000124.1	957	957	957	957	lncRNA
ENSG00000230820.2	AC000362.1	425	425	425	425	processed_pseudogene
ENSG00000224981.1	AC000367.1	1766	1766	1766	1766	processed_pseudogene
ENSG00000241921.1	AC000372.1	646	646	646	646	lncRNA
ENSG00000227249.1	AC000374.1	1745	1745	1745	1745	processed_pseudogene
ENSG00000278727.1	AC000403.1	3585	3585	3585	3585	lncRNA
ENSG00000274898.1	AC001226.1	539	539	539	539	lncRNA
ENSG00000283208.2	AC001226.2	1439	1111	2645	6145	protein_coding
ENSG00000272330.1	AC002044.1	158	158	158	158	lncRNA
ENSG00000279591.1	AC002044.2	970	970	970	970	TEC
ENSG00000280092.1	AC002044.3	541	541	541	541	TEC
ENSG00000213683.4	AC002056.1	760	760	760	760	processed_pseudogene
ENSG00000254499.1	AC002056.2	284	284	284	284	lncRNA
ENSG00000273216.1	AC002059.1	477	477	477	477	lncRNA
ENSG00000225498.1	AC002064.1	733	733	733	733	lncRNA
ENSG00000234459.1	AC002064.2	289	289	289	289	lncRNA
ENSG00000280440.1	AC002064.3	346	346	346	346	TEC
ENSG00000237813.4	AC002066.1	583	538	699	1420	lncRNA
ENSG00000235639.1	AC002069.1	1159	1159	1159	1159	snoRNA
ENSG00000270812.1	AC002069.2	883	883	883	883	lncRNA
ENSG00000248636.7	AC002070.1	624	654	695	1469	lncRNA
ENSG00000285090.1	AC002074.1	612	612	1026	1095	lncRNA
ENSG00000225898.1	AC002075.1	676	676	676	676	processed_pseudogene
ENSG00000237729.2	AC002075.2	252	252	252	252	processed_pseudogene
ENSG00000234695.1	AC002076.1	527	527	527	527	unprocessed_pseudogene
ENSG00000278388.1	AC002076.2	122	122	122	122	NA
ENSG00000279743.1	AC002090.1	2138	2138	2138	2138	TEC
ENSG00000265975.1	AC002091.1	557	557	557	557	lncRNA
ENSG00000266389.1	AC002091.2	402	402	402	402	lncRNA
ENSG00000258924.4	AC002094.1	1050	1050	1050	1050	lncRNA
ENSG00000265618.1	AC002094.2	1121	1121	1121	1121	lncRNA
ENSG00000273171.1	AC002094.3	851	851	851	851	protein_coding
ENSG00000277450.1	AC002094.4	307	307	307	307	lncRNA
ENSG00000279532.1	AC002094.5	629	629	629	629	TEC
ENSG00000261018.1	AC002101.1	1990	1990	1990	1990	lncRNA
ENSG00000267626.1	AC002115.1	568	568	568	568	lncRNA
ENSG00000248101.2	AC002116.1	1130	1130	1130	1130	lncRNA
ENSG00000267698.1	AC002116.2	643	643	643	643	lncRNA
ENSG00000227979.1	AC002127.1	225	225	225	225	processed_pseudogene
ENSG00000233420.2	AC002127.2	2090	2090	3388	4119	NA
ENSG00000268947.1	AC002128.1	1016	1016	1016	1016	lncRNA
ENSG00000271366.1	AC002128.2	618	618	618	618	lncRNA
ENSG00000259242.2	AC002306.1	937	937	937	937	lncRNA
ENSG00000235560.4	AC002310.1	1116	1153	1445	1832	lncRNA
ENSG00000239791.2	AC002310.2	1131	956	1488	2129	lncRNA
ENSG00000260494.1	AC002310.3	723	723	723	723	unprocessed_pseudogene
ENSG00000261459.1	AC002310.5	1515	1515	1515	1515	TEC
ENSG00000278922.1	AC002310.6	1377	1377	1377	1377	NA
ENSG00000261433.1	AC002347.1	541	541	541	541	lncRNA
ENSG00000263388.1	AC002347.2	171	171	171	171	lncRNA
ENSG00000278993.1	AC002350.1	1828	1828	1828	1828	snoRNA
ENSG00000258240.6	AC002351.1	1065	748	2158	2489	lncRNA
ENSG00000232392.1	AC002366.1	1190	1190	1190	1190	NA
ENSG00000226436.1	AC002367.1	405	405	405	405	NA
ENSG00000237741.1	AC002368.1	388	388	388	388	lncRNA
ENSG00000257268.1	AC002375.1	581	581	581	581	lncRNA
ENSG00000225676.2	AC002378.1	2210	2210	2210	2210	lncRNA
ENSG00000228341.1	AC002381.1	280	280	280	280	processed_pseudogene
ENSG00000227863.3	AC002383.1	1100	1219	1728	2007	lncRNA
ENSG00000230941.1	AC002386.1	398	398	398	398	lncRNA
ENSG00000267049.1	AC002398.1	427	427	427	427	lncRNA
ENSG00000267328.1	AC002398.2	660	660	660	660	lncRNA
ENSG00000261528.2	AC002400.1	726	726	726	726	NA
ENSG00000236472.1	AC002401.1	468	468	468	468	lncRNA
ENSG00000250282.1	AC002401.2	430	430	430	430	lncRNA
ENSG00000275025.1	AC002401.3	440	440	440	440	lncRNA
ENSG00000276851.1	AC002401.4	583	583	583	583	lncRNA
ENSG00000283638.2	AC002407.1	3863	3863	3863	3863	lncRNA
ENSG00000253927.1	AC002428.1	771	771	771	771	lncRNA
ENSG00000254239.1	AC002428.2	414	414	414	414	lncRNA
ENSG00000231153.1	AC002429.1	148	148	148	148	processed_pseudogene
ENSG00000236197.4	AC002429.2	1616	1786	2569	4031	NA
ENSG00000231170.7	AC002451.1	1037	992	2118	6742	lncRNA
ENSG00000279525.1	AC002451.2	2398	2398	2398	2398	TEC
ENSG00000237819.5	AC002454.1	443	419	527	667	NA
ENSG00000223969.6	AC002456.1	1366	449	4248	4442	lncRNA
ENSG00000251154.2	AC002456.2	783	783	783	783	protein_coding
ENSG00000249317.2	AC002460.1	358	369	370	516	lncRNA
ENSG00000223646.2	AC002463.1	1012	976	1687	5132	lncRNA
ENSG00000260188.1	AC002464.1	1530	1530	1530	1530	lncRNA
ENSG00000241764.4	AC002467.1	1101	741	3516	3955	lncRNA
ENSG00000272829.1	AC002470.1	395	395	395	395	lncRNA
ENSG00000285314.1	AC002470.2	3442	3442	3442	3442	lncRNA
ENSG00000226872.2	AC002472.1	714	714	714	714	lncRNA
ENSG00000284060.1	AC002472.2	958	958	958	958	transcribed_unprocessed_pseudogene
ENSG00000284130.1	AC002472.3	621	621	621	621	transcribed_unprocessed_pseudogene
ENSG00000284665.1	AC002472.4	272	272	272	272	unprocessed_pseudogene
ENSG00000232759.1	AC002480.2	2432	2432	2432	2432	lncRNA
ENSG00000232949.2	AC002480.3	1177	1177	1797	2141	NA
ENSG00000223866.1	AC002486.1	391	391	391	391	processed_pseudogene
ENSG00000231525.1	AC002486.2	590	590	590	590	processed_pseudogene
ENSG00000270425.1	AC002487.1	994	994	994	994	processed_pseudogene
ENSG00000214111.3	AC002504.1	691	691	691	691	NA
ENSG00000232680.2	AC002511.1	1000	1000	1000	1000	lncRNA
ENSG00000233214.1	AC002511.2	450	450	450	450	lncRNA
ENSG00000283479.1	AC002511.3	420	420	420	420	transcribed_unprocessed_pseudogene
ENSG00000259810.2	AC002519.1	2792	2792	2792	2792	lncRNA
ENSG00000261457.3	AC002519.2	642	551	837	1458	transcribed_processed_pseudogene
ENSG00000233247.3	AC002524.1	547	547	547	547	NA
ENSG00000279314.1	AC002525.1	1622	1622	1622	1622	TEC
ENSG00000279067.1	AC002540.1	1349	1349	1349	1349	TEC
ENSG00000227532.1	AC002542.1	193	193	193	193	processed_pseudogene
ENSG00000235945.1	AC002543.1	1954	1954	1954	1954	processed_pseudogene
ENSG00000267184.1	AC002545.1	181	181	181	181	processed_pseudogene
ENSG00000267653.1	AC002546.1	584	584	584	584	lncRNA
ENSG00000261312.1	AC002550.1	1379	1379	1379	1379	lncRNA
ENSG00000276571.1	AC002550.2	394	394	394	394	lncRNA
ENSG00000261736.1	AC002551.1	592	592	592	592	lncRNA
ENSG00000227782.2	AC002553.1	802	802	802	802	lncRNA
ENSG00000275413.1	AC002553.2	331	331	331	331	lncRNA
ENSG00000239291.1	AC002558.1	803	803	803	803	processed_pseudogene
ENSG00000261872.1	AC002558.2	673	673	673	673	lncRNA
ENSG00000262265.2	AC002558.3	1137	1137	1873	1873	lncRNA
ENSG00000255692.1	AC002563.1	451	451	451	451	lncRNA
ENSG00000267005.1	AC002984.1	448	448	448	448	processed_pseudogene
ENSG00000268193.5	AC002985.1	634	634	685	685	protein_coding
ENSG00000257767.3	AC002996.1	784	784	784	784	protein_coding
ENSG00000235461.2	AC003001.1	1125	1109	1398	1480	lncRNA
ENSG00000276391.1	AC003001.2	831	831	831	831	processed_pseudogene
ENSG00000268133.1	AC003002.1	456	456	456	456	protein_coding
ENSG00000268533.1	AC003002.2	521	521	521	521	protein_coding
ENSG00000269533.5	AC003002.3	581	579	630	1210	protein_coding
ENSG00000268107.6	AC003005.1	1411	1411	2258	2258	protein_coding
ENSG00000268266.1	AC003005.2	526	526	539	664	lncRNA
ENSG00000269026.2	AC003006.1	516	516	612	833	protein_coding
ENSG00000262011.1	AC003009.1	686	686	686	686	lncRNA
ENSG00000212663.2	AC003035.1	544	544	544	544	lncRNA
ENSG00000233535.1	AC003035.2	696	696	696	696	lncRNA
ENSG00000267211.1	AC003043.1	337	337	337	337	lncRNA
ENSG00000285486.1	AC003043.2	4061	4061	4061	4061	lncRNA
ENSG00000214684.2	AC003045.1	713	713	713	713	NA
ENSG00000267344.1	AC003070.1	457	457	457	457	lncRNA
ENSG00000267446.1	AC003070.2	386	386	386	386	lncRNA
ENSG00000225971.1	AC003071.1	789	789	789	789	processed_pseudogene
ENSG00000226573.1	AC003071.2	315	315	315	315	NA
ENSG00000250318.1	AC003072.1	612	612	612	612	unprocessed_pseudogene
ENSG00000234358.1	AC003080.1	767	767	767	767	processed_pseudogene
ENSG00000234826.1	AC003084.1	435	435	435	435	lncRNA
ENSG00000227930.1	AC003087.1	499	499	499	499	lncRNA
ENSG00000236453.5	AC003092.1	691	691	743	1064	lncRNA
ENSG00000236938.1	AC003092.2	446	446	446	446	lncRNA
ENSG00000267604.1	AC003098.1	494	494	494	494	lncRNA
ENSG00000228768.3	AC003101.1	459	459	459	459	lncRNA
ENSG00000278546.1	AC003101.2	442	442	442	442	lncRNA
ENSG00000278977.1	AC003101.3	768	768	768	768	TEC
ENSG00000260793.2	AC003102.1	1182	1182	1796	2012	lncRNA
ENSG00000237994.1	AC003659.1	465	465	465	465	lncRNA
ENSG00000227042.1	AC003666.1	611	611	611	611	lncRNA
ENSG00000237539.1	AC003669.1	611	611	611	611	processed_pseudogene
ENSG00000279159.1	AC003681.1	49287	49287	49287	49287	lncRNA
ENSG00000268392.1	AC003682.1	462	462	462	462	lncRNA
ENSG00000228543.1	AC003684.1	1715	1715	1715	1715	lncRNA
ENSG00000229012.1	AC003685.1	466	466	466	466	lncRNA
ENSG00000231619.1	AC003685.2	395	395	395	395	NA
ENSG00000257807.1	AC003686.1	1034	1034	1034	1034	processed_pseudogene
ENSG00000264598.1	AC003687.1	427	427	427	427	lncRNA
ENSG00000262302.1	AC003688.1	489	489	489	489	protein_coding
ENSG00000263342.1	AC003688.2	415	415	415	415	lncRNA
ENSG00000268564.1	AC003956.1	356	356	356	356	lncRNA
ENSG00000279825.1	AC003957.1	2673	2673	2673	2673	TEC
ENSG00000108516.5	AC003958.1	421	421	421	421	unprocessed_pseudogene
ENSG00000234859.5	AC003958.2	3025	3025	3890	4067	lncRNA
ENSG00000263280.2	AC003965.1	703	683	761	850	lncRNA
ENSG00000263325.1	AC003965.2	265	265	265	265	lncRNA
ENSG00000269504.3	AC003973.2	1176	1269	1953	5976	TEC
ENSG00000279377.1	AC003973.3	2822	2822	2822	2822	NA
ENSG00000197462.3	AC003975.1	837	837	837	837	lncRNA
ENSG00000256695.2	AC003982.1	349	349	365	410	lncRNA
ENSG00000235139.2	AC003984.1	2226	2226	4104	4276	lncRNA
ENSG00000233824.2	AC003985.1	389	401	412	640	lncRNA
ENSG00000260951.2	AC003985.2	1298	1388	1834	2429	NA
ENSG00000229533.1	AC003986.1	1526	1526	1526	1526	lncRNA
ENSG00000232821.1	AC003986.2	1711	1711	1711	1711	lncRNA
ENSG00000236536.1	AC003986.3	692	692	692	692	lncRNA
ENSG00000234223.2	AC003988.1	578	578	578	578	lncRNA
ENSG00000227948.4	AC003989.1	565	565	565	565	processed_pseudogene
ENSG00000243621.1	AC003989.2	169	169	169	169	processed_pseudogene
ENSG00000228113.7	AC003991.1	688	718	1048	4838	lncRNA
ENSG00000254003.1	AC003991.2	576	576	576	576	NA
ENSG00000282859.1	AC003992.1	557	557	557	557	lncRNA
ENSG00000237903.1	AC004000.1	433	433	433	433	lncRNA
ENSG00000270317.1	AC004004.1	250	250	250	250	processed_pseudogene
ENSG00000228711.1	AC004006.1	377	377	377	377	processed_pseudogene
ENSG00000224322.2	AC004009.1	795	811	1008	1323	lncRNA
ENSG00000279429.1	AC004009.2	728	728	728	728	TEC
ENSG00000279655.1	AC004009.3	645	645	645	645	TEC
ENSG00000233942.1	AC004012.1	534	534	534	534	lncRNA
ENSG00000229603.1	AC004014.1	538	538	538	538	lncRNA
ENSG00000279043.1	AC004014.2	5122	5122	5122	5122	TEC
ENSG00000228751.1	AC004022.1	1066	1066	1066	1066	processed_pseudogene
ENSG00000237160.2	AC004022.2	193	193	193	193	processed_pseudogene
ENSG00000261462.1	AC004023.1	1744	1744	1744	1744	lncRNA
ENSG00000257624.1	AC004024.1	247	247	247	247	processed_pseudogene
ENSG00000262482.1	AC004034.1	510	510	510	510	lncRNA
ENSG00000230612.3	AC004039.1	640	641	776	1789	lncRNA
ENSG00000251170.6	AC004052.1	626	567	796	1632	lncRNA
ENSG00000248242.1	AC004053.1	575	575	575	575	lncRNA
ENSG00000248984.1	AC004054.1	270	270	270	270	lncRNA
ENSG00000196656.7	AC004057.1	316	316	348	498	transcribed_processed_pseudogene
ENSG00000251312.2	AC004062.1	645	645	645	645	processed_pseudogene
ENSG00000250670.1	AC004063.1	547	547	547	547	lncRNA
ENSG00000216425.4	AC004066.1	802	802	802	802	lncRNA
ENSG00000250522.1	AC004066.2	572	572	572	572	NA
ENSG00000273447.1	AC004067.1	700	700	700	700	lncRNA
ENSG00000251259.1	AC004069.1	549	549	549	549	lncRNA
ENSG00000251473.2	AC004069.2	1114	1114	1114	1114	processed_pseudogene
ENSG00000237014.1	AC004074.1	1063	1063	1063	1063	NA
ENSG00000268163.1	AC004076.1	598	652	664	1028	protein_coding
ENSG00000276449.1	AC004076.2	3323	3323	3323	3323	lncRNA
ENSG00000253308.2	AC004080.1	757	757	757	757	lncRNA
ENSG00000253508.1	AC004080.2	556	556	556	556	lncRNA
ENSG00000257184.3	AC004080.3	765	765	765	765	protein_coding
ENSG00000270182.1	AC004080.4	633	633	633	633	lncRNA
ENSG00000272801.1	AC004080.5	368	368	368	368	lncRNA
ENSG00000273433.1	AC004080.6	919	919	919	919	lncRNA
ENSG00000226851.1	AC004112.1	424	424	561	707	lncRNA
ENSG00000213798.3	AC004129.1	796	796	796	796	processed_pseudogene
ENSG00000234406.1	AC004129.2	287	287	287	287	processed_pseudogene
ENSG00000271133.5	AC004130.1	701	701	737	896	snoRNA
ENSG00000267592.1	AC004134.1	225	225	225	225	processed_pseudogene
ENSG00000263485.1	AC004147.1	299	299	299	299	lncRNA
ENSG00000263571.3	AC004147.2	2873	2873	3810	4110	lncRNA
